airport_code,latitude,longitude
ILG,39.6796715,-75.6076335
CGI,37.2247159,-89.5680032
PLN,45.5692608,-84.7969465
SGF,37.2429838,-93.3889141
PIT,40.4917828,-80.2370245
SAT,29.5334021,-98.4692144
ATL,33.6374009,-84.4298161
DEN,39.8606676,-104.6853673
ROW,33.3024174,-104.5253312
PDX,45.5871326,-122.5927798
SFO,37.622452,-122.3839894
CYS,41.1562943,-104.8088246
MIA,25.7949789,-80.2867234
YAK,59.5008136,-139.6440808
MVY,41.3923919,-70.6145957
OGG,20.8956979,-156.4340476
PRC,22.3161669,113.9365027
BOS,42.3631767,-71.0136401
CNY,38.7689887,-109.7507962
STX,17.6999781,-64.8059209
MGM,32.2962424,-86.3904185
FSD,43.5827347,-96.7412031
RHI,45.6314535,-89.4789741
ADQ,57.7535941,-152.5136697
PVD,41.72244,-71.4285882
LFT,30.2032138,-91.9899447
PSG,56.8019798,-132.9449311
BRD,46.4050747,-94.1282799
GJT,39.1234158,-108.5244492
DVL,48.1138202,-98.9072037
STT,18.3347691,-64.9724536
STC,45.5472292,-94.0584994
PSE,18.008886,-66.5633497
WRG,56.4838146,-132.3716608
SFB,28.7759519,-81.241239
EWR,40.6890641,-74.1772549
SBP,35.2375156,-120.6433148
CID,41.8853041,-91.7147242
GUM,13.4864902,144.8020603
FNT,42.9605728,-83.7456511
GRR,42.8766103,-85.5362909
DDC,37.7670112,-99.9643187
CDC,37.7025428,-113.0990992
PIH,42.9074805,-112.5928393
MCI,39.3022045,-94.720828
MTJ,38.5118206,-107.892488
ACY,39.4570854,-74.5702765
TRI,36.4734477,-82.4084327
LAR,41.3134545,-105.6728654
MCO,28.4129036,-81.3094431
ISP,40.7958092,-73.0992009
BJI,47.510069,-94.9302455
TUL,36.2010229,-95.8868136
MLB,28.1016898,-80.6481634
TLH,30.3978261,-84.3590839
SBA,34.4274301,-119.8431399
SPI,39.8436862,-89.6795659
RDM,44.254082,-121.1490687
HHH,32.2251885,-80.6969031
ATY,44.9128812,-97.1487372
CKB,39.2995022,-80.2284323
GST,58.4249803,-135.7054108
CMH,39.9970561,-82.8930477
MLU,32.5115301,-92.0372881
LCK,39.8132172,-82.9341997
ROA,37.3244263,-79.9767974
ALS,35.8200837,-77.3747796
SPN,15.1204908,145.7296252
HTS,38.3679651,-82.5596021
DSM,41.5345493,-93.6592394
SAV,32.1242377,-81.1977064
STL,38.7496273,-90.3704702
CMI,40.0383172,-88.2715668
PHF,37.1322965,-76.4940129
SCC,70.1954693,-148.4587465
RIW,43.0643932,-108.4589967
IDA,43.5151828,-112.0661095
BZN,45.7834995,-111.1569824
SUX,42.4036084,-96.3836488
BFL,35.4364902,-119.0588838
BNA,36.1195849,-86.6826622
BIL,-8.7591966,116.2749897
BIH,37.3728747,-118.3657494
TVC,44.7417363,-85.580255
SPS,33.9661199,-98.4898971
CHA,35.0323836,-85.2016779
GPT,22.3161669,113.9365027
BGM,42.2106484,-75.9815509
IAD,38.9522663,-77.4534849
DAB,29.1816439,-81.0542995
MEI,32.3277415,-88.7525783
YKM,46.5668101,-120.5367982
ONT,34.0555978,-117.601371
CAE,33.9388631,-81.1139715
SHV,32.4451121,-93.8267372
PIA,-27.1891033,116.2846248
JMS,46.9276783,-98.6781353
RAP,44.0448069,-103.0606801
CWA,44.7727172,-89.6671649
LAN,42.7809668,-84.5857376
LBB,33.6652574,-101.8266887
FAI,64.8144016,-147.8586809
HYS,38.8411481,-99.2708385
LGB,33.8155659,-118.1534292
LIH,21.9722488,-159.3500201
ABE,40.6511137,-75.4422336
CMX,47.1682702,-88.4865113
BRO,25.905718,-97.4255292
GGG,32.383819,-94.7136636
PSM,43.0790211,-70.8186777
SCK,37.8943699,-121.242738
TPA,27.9791649,-82.5349276
FAY,34.9921371,-78.8841682
VCT,28.8540778,-96.9181207
ABY,31.5339678,-84.1925449
EUG,44.1241628,-123.214918
SRQ,27.3959884,-82.5540742
OGD,41.1941629,-112.0131891
DLH,46.8418867,-92.2029754
RIC,37.5073698,-77.3336845
RDD,40.5110804,-122.296109
GTF,47.4800263,-111.375579
ATW,44.256595,-88.521696
SLC,40.7900661,-111.9798985
ERI,42.0847103,-80.1744724
ESC,45.7245591,-87.0889933
YUM,32.648514,-114.6077259
CAK,40.9152061,-81.4399161
CHS,32.8992985,-80.039465
JAC,43.6087926,-110.7380325
PHX,33.4328487,-112.0067915
AKN,58.6757472,-156.6474763
TTN,40.276412,-74.8132111
KTN,55.3537647,-131.7083563
CLT,35.2107415,-80.9457435
OTH,43.4154932,-124.2434654
ORD,41.9782523,-87.9092355
MOB,30.6926918,-88.2413386
SCE,40.8503236,-77.8486639
EWN,35.0709799,-77.0401398
ACK,41.2558239,-70.0580378
FLG,35.1403983,-111.6702044
AZO,42.2307865,-85.5510419
BKG,36.5278,-93.1978166
VLD,30.7783103,-83.2780341
SMX,34.8994719,-120.4555162
ANC,61.1810353,-149.9978919
OKC,35.3848053,-97.6053443
ORF,36.8946697,-76.2022963
JNU,58.3566191,-134.580193
MLI,41.4477214,-90.5114665
PUB,38.2984469,-104.503308
BUF,42.9402016,-78.7307523
IAG,43.1072662,-78.9523498
PSC,46.2635986,-119.1189015
ADK,51.8759083,-176.6503973
OTZ,66.8836843,-162.6107466
GFK,47.9518219,-97.1744707
LIT,34.7311092,-92.2245782
BOI,43.5600566,-116.2080749
LGA,40.7757145,-73.873364
EAU,44.8689683,-91.4855007
ELP,31.8090384,-106.3666075
RKS,41.5950759,-109.0684214
AVP,41.3370921,-75.7225712
OAK,37.7222592,-122.2170166
OWB,37.7370839,-87.1686257
XNA,36.27981,-94.3025902
AMA,-4.1015945,141.6703234
ELM,42.1608239,-76.8941293
IAH,29.9841416,-95.332986
AEX,31.3301447,-92.5471496
DRO,37.1528424,-107.7586059
ALB,42.7481728,-73.7986209
AZA,33.3058821,-111.6529408
RNO,39.4982831,-119.7687986
SDF,38.1716962,-85.7354076
HOB,32.68632,-103.2142949
PQI,46.6911993,-68.0476106
ITH,42.4918021,-76.4606946
IND,39.7162533,-86.2950839
XWA,48.2605484,-103.7467707
EAR,40.7266522,-99.0016625
SHR,44.7665812,-106.9776385
DEC,39.8334983,-88.861991
PIE,27.9099433,-82.6877179
PUW,46.7406033,-117.1173926
JAN,32.3121104,-90.0767783
ILM,34.2724505,-77.90924
DCA,38.8512895,-77.0396889
FOD,42.5502432,-94.1932798
DBQ,42.4015076,-90.7069845
BWI,39.1828341,-76.6698273
COS,38.8004299,-104.7032771
BMI,40.4733557,-88.9148026
COU,38.8168307,-92.2198931
EGE,39.6422569,-106.9172206
PIB,31.4672,-89.3363366
GUC,38.5323609,-106.9398273
CDV,60.4917516,-145.4738854
TYR,32.3519096,-95.4020876
MOT,48.2579465,-101.2770051
CHO,38.1410056,-78.450458
MAF,31.9460261,-102.2106187
BUR,34.2031727,-118.3591782
PIR,44.3784131,-100.2825619
SGU,37.0350479,-113.5091583
OGS,44.6818055,-75.4652439
PNS,30.4725975,-87.1880859
ORH,42.2686095,-71.873064
BTM,45.95454,-112.4965538
GCC,44.3468582,-105.5379262
EKO,40.825502,-115.7880111
MSY,29.9942002,-90.2643044
DAY,39.9053187,-84.2202454
OMA,41.3011252,-95.8898709
BFF,41.8768588,-103.5949185
OAJ,34.8267925,-77.6149339
GNV,29.6923104,-82.2759966
EYW,24.5554773,-81.759616
MSN,43.1420815,-89.3377453
AVL,35.4364233,-82.540881
SBN,41.7091043,-86.3232534
MFR,42.3727441,-122.8734383
PGV,35.6379764,-77.3800184
ABR,45.4444902,-98.4145151
ACV,40.9763645,-124.1084259
SJC,37.3633299,-121.9293365
GRI,40.9705149,-98.3075367
ABI,61.6291617,-149.0469542
VPS,30.4857839,-86.5446568
DAL,32.8452406,-96.8473219
JAX,30.49375,-81.6930382
MFE,26.1762799,-98.2396055
RDU,35.8803614,-78.7872382
PGD,26.9176156,-81.993001
PBG,44.6516866,-73.4643667
HRL,26.2300474,-97.653708
SIT,57.0479557,-135.3635849
GTR,33.4502,-88.5903986
ECP,30.3599309,-85.8040456
BTR,30.5319743,-91.1504242
ITO,19.7188306,-155.0475539
JLN,37.1592883,-94.5009029
MHK,39.1387754,-96.6696136
BET,60.7789171,-161.8381152
FLL,26.072017,-80.1509967
LSE,43.878607,-91.2555715
MSO,46.9168278,-114.0877776
INL,48.5661049,-93.4040764
SMF,38.6867898,-121.5903803
LAW,34.5698495,-98.4181223
FSM,35.3392525,-94.3569783
DIK,46.8016713,-102.8005097
COD,44.520752,-109.0218534
RFD,42.1966203,-89.1018595
ALO,42.5577097,-92.3940616
HYA,41.6707658,-70.2843904
FAT,36.776006,-119.7197446
PWM,43.6461776,-70.314412
ICT,37.649253,-97.4322633
BTV,44.4728965,-73.1514614
DRT,29.3725627,-100.9224832
VEL,40.4353026,-109.5116072
HOU,29.6471491,-95.2769303
BIS,46.7728952,-100.7472663
EVV,38.0422141,-87.5287941
HIB,47.3850087,-92.8387488
BQK,31.259811,-81.4639707
MHT,42.9306656,-71.4388087
SJT,31.3546864,-100.4986245
OME,64.5141325,-165.4657277
FLO,34.185129,-79.7253999
GRK,31.0616542,-97.8206034
LEX,38.0348043,-84.6049217
RST,43.9043097,-92.4954441
GSO,36.1020574,-79.944597
LBL,37.044962,-100.9586671
APN,45.0787902,-83.5599968
SYR,43.1141752,-76.1191445
SHD,38.2625261,-78.8999641
HLN,46.6063969,-111.9827445
DFW,32.8965195,-97.0465221
HGR,39.7088329,-77.7267564
SBY,38.3394161,-75.510105
SLN,38.7927541,-97.6548661
SWF,41.5020532,-74.1212029
CRW,38.3729476,-81.5942197
LCH,30.1224221,-93.2220626
CVG,39.0499064,-84.6651575
CRP,27.7702374,-97.5065754
ACT,31.6127285,-97.2248401
CIU,46.2424749,-84.4635764
HPN,41.0680174,-73.7083333
AUS,30.1934893,-97.6650096
BPT,29.9523751,-94.0217808
SNA,33.6742048,-117.8680243
LBE,40.272974,-79.4064117
LYH,37.3221732,-79.206603
BGR,44.8072619,-68.8194149
SAN,32.7333608,-117.1922464
DHN,31.321627,-85.4496135
LAX,33.9421675,-118.4213591
RSW,26.5329498,-81.7588056
TUS,32.1126477,-110.9346376
SJU,18.4431995,-65.9974304
DTW,42.2056991,-83.3529754
MDW,41.7855142,-87.7517243
AGS,33.3723021,-81.9650639
TOL,-4.9809338,152.0100794
ABQ,35.0376695,-106.6109675
PAH,37.0596,-88.773
BQN,18.4934606,-67.1342159
KOA,19.743906,-156.042296
LWS,46.3757313,-117.015503
MDT,40.1932098,-76.7529459
FCA,48.3108042,-114.2556937
GCK,37.9296712,-100.7264319
MCW,43.1607601,-93.327732
ALW,46.0940857,-118.2912192
PPG,-14.3347658,-170.7159686
BLV,38.5461016,-89.8199745
MKE,42.9465423,-87.8972578
PVU,40.2192141,-111.7205738
LAS,36.0861034,-115.1611002
CLL,30.5882285,-96.3641116
PBI,26.6859478,-80.0924865
EAT,47.3991834,-120.2056903
HNL,21.3211445,-157.9184436
BDL,41.9406881,-72.6849968
SAF,35.6183174,-106.0878316
STS,38.5104121,-122.8143895
BLI,48.7936896,-122.5359569
ASE,39.2214209,-106.8673412
MBS,43.5357962,-84.0828496
BHM,33.5646818,-86.7504578
TBN,37.739739,-92.1391958
MYR,33.6806406,-78.9290597
PAE,47.9088268,-122.2794302
DLG,59.0433568,-158.5112028
MRY,36.587058,-121.8419398
JST,40.3145917,-78.8335325
IMT,45.8213995,-88.1131142
MSP,44.8780191,-93.2209281
MQT,46.3534068,-87.3969585
CLE,41.4064537,-81.8510152
FWA,40.9798288,-85.1879116
TWF,42.4817,-114.4877
LRD,27.5472148,-99.4614768
HSV,34.6369931,-86.7638339
PSP,33.8303392,-116.5096453
LBF,41.1280208,-100.6886244
TXK,33.4525262,-93.9902502
GSP,34.8954456,-82.2172285
TYS,35.809553,-83.9988717
MKG,43.1703365,-86.2370531
LWB,37.8586232,-80.3996372
USA,42.3743325,-71.0302794
ROC,43.1161699,-77.6726934
MEM,35.0462565,-89.9768947
JFK,40.6429479,-73.7793734
SUN,43.503926,-114.2971542
CSG,32.5166041,-84.9420079
PHL,39.875018,-75.2352128
SEA,47.4475673,-122.3080159
GRB,44.4784881,-88.1436201
GEG,47.6200441,-117.5423667
CPR,42.9054243,-106.4645276
FAR,46.9208925,-96.814488
HDN,40.4844693,-107.220936
ART,43.9896298,-76.0223671
BRW,71.2862215,-156.7745708
WYS,44.6864408,-111.1173851
SWO,36.1618834,-97.0874681
LNK,40.8473147,-96.7574426
